Unnamed: 0,Drug_ID,Drug,property,canonical_smiles
20,20,CC(C)N(N)C(C)C,1,CC(C)N(N)C(C)C
21,21,Oc1c(Cl)cccc1Cl,1,Oc1c(Cl)cccc1Cl
22,22,Nc1ccccc1SCSc1ccccc1N,1,Nc1ccccc1SCSc1ccccc1N
23,23,Cc1ccncc1,1,Cc1ccncc1
24,24,CC(=O)Oc1ccc2c(c1)OC1(C)OOC21C,1,CC(=O)Oc1ccc2c(c1)OC1(C)OOC21C
25,25,Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,1,Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2
26,26,c1ccc2c(c1)-c1ccc3ccccc3c1C1NC21,1,c1ccc2c(c1)-c1ccc3ccccc3c1C1NC21
27,27,c1ccc(C2NC2c2ccccc2)cc1,1,c1ccc(C2NC2c2ccccc2)cc1
28,28,Cc1ccc2ccccc2c1[N+](=O)[O-],1,Cc1ccc2ccccc2c1[N+](=O)[O-]
29,29,NCCN,1,NCCN
30,30,O=C1NC(=O)[C@@H]2CC=CC[C@H]12,1,O=C1NC(=O)C2CC=CCC12
31,31,CC(C)(C)c1ccc(OC[C@H]2CO2)cc1,1,CC(C)(C)c1ccc(OCC2CO2)cc1
32,32,CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,1,CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12
33,33,COc1ccc(CNC(=O)C(C)Br)cc1,1,COc1ccc(CNC(=O)C(C)Br)cc1
34,34,ClCc1cccc(CCl)c1,1,ClCc1cccc(CCl)c1
35,35,CC1=CC[C@H]2C[C@@H]1C2(C)C,1,CC1=CCC2CC1C2(C)C
36,36,O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCC=C2,1,O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCC=C2
37,37,CCCCN(N=O)/C(C=O)=N/O,1,CCCCN(N=O)C(C=O)=NO
38,38,Cc1ccc(NN=NCc2ccccc2)cc1,1,Cc1ccc(NN=NCc2ccccc2)cc1
39,39,CN(C)NC(=O)CCC(=O)O,1,CN(C)NC(=O)CCC(=O)O
40,40,Cc1c2ccccc2c(CO)c2ccccc12,1,Cc1c2ccccc2c(CO)c2ccccc12
41,41,CC(=O)c1ccccc1,1,CC(=O)c1ccccc1
42,42,CN(C)CCOC(c1ccccc1)c1ccccc1,1,CN(C)CCOC(c1ccccc1)c1ccccc1
43,43,O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)C(O)C(O)C=C4,1,O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)C(O)C(O)C=C4
44,44,O=[N+]([O-])C(Cl)(Cl)Cl,1,O=[N+]([O-])C(Cl)(Cl)Cl
45,45,c1ccc(Nc2cccc3ccccc23)cc1,1,c1ccc(Nc2cccc3ccccc23)cc1
46,46,COC[C@@H](O)Cn1cc([N+](=O)[O-])nc1Cl,1,COCC(O)Cn1cc([N+](=O)[O-])nc1Cl
47,47,C=C(C)C1CO1,1,C=C(C)C1CO1
48,48,CNC(=O)[C@@H](C)SCCSP(=O)(OC)OC,1,CNC(=O)C(C)SCCSP(=O)(OC)OC
49,49,CC(=O)Nc1ccc2ccccc2n1,1,CC(=O)Nc1ccc2ccccc2n1
50,50,C=C(C)C=O,1,C=C(C)C=O
51,51,O=[N+]([O-])c1ccc(I)c([N+](=O)[O-])c1,1,O=[N+]([O-])c1ccc(I)c([N+](=O)[O-])c1
52,52,O=[N+]([O-])c1ccc2c(c1)Oc1ccc([N+](=O)[O-])cc1O2,1,O=[N+]([O-])c1ccc2c(c1)Oc1ccc([N+](=O)[O-])cc1O2
53,53,CC1CCCC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1,1,CC1CCCC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1
54,54,CC(C)CNc1snc2ccccc12,1,CC(C)CNc1snc2ccccc12
55,55,Cc1cc2ccccc2c2ccc3c(c12)C=CC(=O)C3=O,1,Cc1cc2ccccc2c2ccc3c(c12)C=CC(=O)C3=O
56,56,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,1,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
57,57,NNc1ccc(C(=O)O)cc1,1,NNc1ccc(C(=O)O)cc1
58,58,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C(C)(C)O)C3,1,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C(C)(C)O)C3
59,59,Nc1ccc(N=Nc2cccc(N=Nc3ccc(N)cc3N)c2)c(N)c1,1,Nc1ccc(N=Nc2cccc(N=Nc3ccc(N)cc3N)c2)c(N)c1
60,60,Cc1ccc2ccc3ccccc3c2c1C,1,Cc1ccc2ccc3ccccc3c2c1C
61,61,OC(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1,1,OC(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1
62,62,O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O,1,O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O
63,63,CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,1,CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1
64,64,O=[N+]([O-])c1ccc(C2OCC3(CO)COC(c4ccc([N+](=O)[O-])cc4)N23)cc1,1,O=[N+]([O-])c1ccc(C2OCC3(CO)COC(c4ccc([N+](=O)[O-])cc4)N23)cc1
65,65,CCOP(=S)(OCC(C)C)SCCl,1,CCOP(=S)(OCC(C)C)SCCl
66,66,CNC1=C2CC(=O)C(OC)=CC=C2c2c(cc(OC)c(OC)c2OC)CC1,1,CNC1=C2CC(=O)C(OC)=CC=C2c2c(cc(OC)c(OC)c2OC)CC1
67,67,CC(=O)Nc1ccc(Cc2ccc(NC(C)=O)c(Cl)c2)cc1Cl,1,CC(=O)Nc1ccc(Cc2ccc(NC(C)=O)c(Cl)c2)cc1Cl
68,68,CC(=O)ON(OCc1ccc(Br)cc1)C(=O)c1ccccc1,1,CC(=O)ON(OCc1ccc(Br)cc1)C(=O)c1ccccc1
69,69,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
70,70,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,1,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
71,71,ClC(Cl)(Cl)[C@@H]1CO1,1,ClC(Cl)(Cl)C1CO1
72,72,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
73,73,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,1,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
74,74,CCCCSCCC(N)C(=O)O,1,CCCCSCCC(N)C(=O)O
75,75,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,1,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
76,76,CC(N)C(O)c1ccccc1,1,CC(N)C(O)c1ccccc1
77,77,ClCc1cnc(Cl)nc1Cl,1,ClCc1cnc(Cl)nc1Cl
78,78,Clc1ccccc1,1,Clc1ccccc1
79,79,NP(=O)(OCCC(=O)O)N(CCCl)CCCl,1,NP(=O)(OCCC(=O)O)N(CCCl)CCCl
80,80,CCCCN(N)CCCC,1,CCCCN(N)CCCC
81,81,O=C1NC(=O)c2ccccc21,1,O=C1NC(=O)c2ccccc21
82,82,O=C(O)CCCOc1ccc(Cl)cc1Cl,1,O=C(O)CCCOc1ccc(Cl)cc1Cl
83,83,Cc1cccc(C(=O)O)c1[N+](=O)[O-],1,Cc1cccc(C(=O)O)c1[N+](=O)[O-]
84,84,CCCC=O,1,CCCC=O
85,85,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,1,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
86,86,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
87,87,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCO)ccc(NCCO)c21,1,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCO)ccc(NCCO)c21
88,88,CC(=O)Nc1ccc2c3c(cccc13)-c1cc(O)ccc1-2,1,CC(=O)Nc1ccc2c3c(cccc13)-c1cc(O)ccc1-2
89,89,CC(=O)Cl,1,CC(=O)Cl
90,90,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,1,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F
91,91,CCCCCl,1,CCCCCl
92,92,CC(C)(C)C(Br)C(=O)Nc1ccccc1,1,CC(C)(C)C(Br)C(=O)Nc1ccccc1
93,93,COc1ccc2c(CBr)cc(=O)oc2c1,1,COc1ccc2c(CBr)cc(=O)oc2c1
94,94,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
95,95,CC(C)NCC(O)c1ccc2ccccc2c1,1,CC(C)NCC(O)c1ccc2ccccc2c1
96,96,c1ccc(OCC2CO2)cc1,1,c1ccc(OCC2CO2)cc1
97,97,C=C(C)C(=O)OCCC,1,C=C(C)C(=O)OCCC
98,98,COS(=O)(=O)F,1,COS(=O)(=O)F
99,99,CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1,1,CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1
100,100,CSCC(NC(=O)C(C)(C)SC)C(=O)O,1,CSCC(NC(=O)C(C)(C)SC)C(=O)O
101,101,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,1,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC
102,102,C=CC(=O)OCC(C)(C)C,1,C=CC(=O)OCC(C)(C)C
103,103,O=C(Cl)c1cccc([N+](=O)[O-])c1,1,O=C(Cl)c1cccc([N+](=O)[O-])c1
104,104,NC(=S)c1c(Cl)cccc1Cl,1,NC(=S)c1c(Cl)cccc1Cl
105,105,C=Cc1ccccc1Cl,1,C=Cc1ccccc1Cl
106,106,Cc1cnc(S)nc1O,1,Cc1cnc(S)nc1O
107,107,CCOC(=O)C[C@H](S[P@@](=O)(OC)SC)C(=O)OCC,1,CCOC(=O)CC(SP(=O)(OC)SC)C(=O)OCC
108,108,O=C1CN(/N=C/C=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,1,O=C1CN(N=CC=Cc2ccc([N+](=O)[O-])o2)C(=O)N1
109,109,O=C(OCc1ccccc1)c1ccccc1O,1,O=C(OCc1ccccc1)c1ccccc1O
110,110,O=[N+]([O-])c1ccc2c[nH]nc2c1,1,O=[N+]([O-])c1ccc2c[nH]nc2c1
111,111,c1ccc(C(c2ccccc2)c2ccccc2)cc1,1,c1ccc(C(c2ccccc2)c2ccccc2)cc1
112,112,O=C1CCc2c1ccc1c2ccc2ccccc21,1,O=C1CCc2c1ccc1c2ccc2ccccc21
113,113,CCOP(=O)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,1,CCOP(=O)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
114,114,COC(=O)c1ccccc1O,1,COC(=O)c1ccccc1O
115,115,O=C(O)c1ccc(/C=C/c2ccc([N+](=O)[O-])o2)cc1,1,O=C(O)c1ccc(C=Cc2ccc([N+](=O)[O-])o2)cc1
116,116,N=C(N)c1ccc2c(N)c(C(=N)N)[nH]c2c1,1,N=C(N)c1ccc2c(N)c(C(=N)N)[nH]c2c1
117,117,O=C(/N=c1\sn(C(=O)c2ccccc2[N+](=O)[O-])c2ccc([N+](=O)[O-])cc12)c1ccccc1[N+](=O)[O-],1,O=C(N=c1sn(C(=O)c2ccccc2[N+](=O)[O-])c2ccc([N+](=O)[O-])cc12)c1ccccc1[N+](=O)[O-]
118,118,Nc1nc2cc(O)ccc2[nH]1,1,Nc1nc2cc(O)ccc2[nH]1
119,119,C[C@H]1CN1,1,CC1CN1
120,120,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
121,121,CCN(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2,1,CCN(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2
122,122,COC(=O)c1ccccc1N,1,COC(=O)c1ccccc1N
123,123,CCCCCNc1snc2ccccc12,1,CCCCCNc1snc2ccccc12
124,124,CC1OC1C,1,CC1OC1C
125,125,Nc1ccc(-c2ccccc2)cc1,1,Nc1ccc(-c2ccccc2)cc1
126,126,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@]3(C)[C@@H](O)[C@H]12,1,C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12
127,127,O=[N+]([O-])c1cccc(Cl)c1,1,O=[N+]([O-])c1cccc(Cl)c1
128,128,COC1=CC=CC=CC1,1,COC1=CC=CC=CC1
129,129,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,1,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl
130,130,CCCCON(OC(C)=O)C(=O)c1ccc(Cl)cc1,1,CCCCON(OC(C)=O)C(=O)c1ccc(Cl)cc1
131,131,COC(=O)c1oc(N(OC(C)=O)C(C)=O)c(-c2ccccc2)c1-c1ccccc1,1,COC(=O)c1oc(N(OC(C)=O)C(C)=O)c(-c2ccccc2)c1-c1ccccc1
132,132,CC(C)Nc1nc(N)nc(Cl)n1,1,CC(C)Nc1nc(N)nc(Cl)n1
133,133,O=[N+]([O-])c1ccc(CO)cc1,1,O=[N+]([O-])c1ccc(CO)cc1
134,134,CC1CCC(C(C)C)C(=O)C1,1,CC1CCC(C(C)C)C(=O)C1
136,136,O/N=C/C=N/O,1,ON=CC=NO
137,137,CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CC(O)CCCCC(O)CC(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O,1,CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CC(O)CCCCC(O)CC(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O
138,138,COP(=O)(OC)OC=C(Cl)Cl,1,COP(=O)(OC)OC=C(Cl)Cl
139,139,O=C1CCCCCCCCCCCC(=O)OCCO1,1,O=C1CCCCCCCCCCCC(=O)OCCO1
140,140,FC(F)(F)c1ccc(CCl)cc1,1,FC(F)(F)c1ccc(CCl)cc1
141,141,CC(C)(C)c1cc(C=Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,1,CC(C)(C)c1cc(C=Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
142,142,Nc1ccc(O)cc1,1,Nc1ccc(O)cc1
143,143,CC(C)C(=O)Nc1snc2cc(Cl)ccc12,1,CC(C)C(=O)Nc1snc2cc(Cl)ccc12
144,144,CC(C)CON=O,1,CC(C)CON=O
145,145,O=C(OC[C@H]1CO1)[C@H]1CCCC[C@@H]1C(=O)OC[C@H]1CO1,1,O=C(OCC1CO1)C1CCCCC1C(=O)OCC1CO1
146,146,Cc1cc(C)c(CN2C3c4ccccc4-c4ccccc4C32)c(C)c1,1,Cc1cc(C)c(CN2C3c4ccccc4-c4ccccc4C32)c(C)c1
147,147,COc1ccc(N=Nc2ccc(N(C)C)cc2)cc1,1,COc1ccc(N=Nc2ccc(N(C)C)cc2)cc1
148,148,Nc1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,Nc1ccc(Oc2ccc(Cl)cc2Cl)cc1
149,149,CC(O)c1ccc2ccc3cccc4ccc1c2c34,1,CC(O)c1ccc2ccc3cccc4ccc1c2c34
150,150,O=CNc1ccc(Oc2ccc(Cl)cc2)cc1,1,O=CNc1ccc(Oc2ccc(Cl)cc2)cc1
151,151,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,1,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
152,152,NC(=O)C1(C(N)=O)O[C@H]1C(=O)c1ccccc1,1,NC(=O)C1(C(N)=O)OC1C(=O)c1ccccc1
153,153,CC1C(O)CCC2=CC(=O)C3(C4OC4CO)OC3C21C,1,CC1C(O)CCC2=CC(=O)C3(C4OC4CO)OC3C21C
154,154,CCC1=C(c2ccc(O)cc2)C(C)c2cc(O)ccc21,1,CCC1=C(c2ccc(O)cc2)C(C)c2cc(O)ccc21
155,155,CCC1=C(O)C(=O)c2c(O)c(O)c(O)c(O)c2C1=O,1,CCC1=C(O)C(=O)c2c(O)c(O)c(O)c(O)c2C1=O
156,156,O=S(=O)(O)C1C(O)c2c(cc3ccc4cccc5ccc2c3c45)C(O)C1O,1,O=S(=O)(O)C1C(O)c2c(cc3ccc4cccc5ccc2c3c45)C(O)C1O
157,157,O=C1NC2(CCCCC2)C(=O)N1CCN1CC1,1,O=C1NC2(CCCCC2)C(=O)N1CCN1CC1
158,158,CC(C)(C)N(CC(=O)c1ccc(O)c(CO)c1)Cc1ccccc1,1,CC(C)(C)N(CC(=O)c1ccc(O)c(CO)c1)Cc1ccccc1
159,159,Cc1c2ccccc2c(CBr)c2ccc3ccccc3c12,1,Cc1c2ccccc2c(CBr)c2ccc3ccccc3c12
160,160,Cc1c2cccc(C)c2nc2c1ccc1ccccc12,1,Cc1c2cccc(C)c2nc2c1ccc1ccccc12
161,161,CCCC[C@@H](CC)CO,1,CCCCC(CC)CO
162,162,O=C1C=C2C(=CCO[C@H]2O)O1,1,O=C1C=C2C(=CCOC2O)O1
163,163,CC(=O)O[C@H]1[C@H](O)[C@@H]2O[C@H]3C=C(C)C(=O)[C@H](O)[C@@]3(CO)[C@@]1(C)[C@@]21CO1,1,CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1
164,164,COc1ccc(CON(OC(C)=O)C(=O)c2ccccc2)cc1,1,COc1ccc(CON(OC(C)=O)C(=O)c2ccccc2)cc1
165,165,c1ccc2c(c1)CCC1CCCCC21,1,c1ccc2c(c1)CCC1CCCCC21
166,166,COC(=O)Nc1nc2cc(O)ccc2[nH]1,1,COC(=O)Nc1nc2cc(O)ccc2[nH]1
167,167,CCCCCCCCCCCCN(C)N=O,1,CCCCCCCCCCCCN(C)N=O
168,168,CC(O)CN(CC(C)O)CC(C)O,1,CC(O)CN(CC(C)O)CC(C)O
169,169,O=C(O)C1=C[C@@H](O)[C@H](O)[C@@H](O)C1,1,O=C(O)C1=CC(O)C(O)C(O)C1
170,170,ONc1ccc2ccccc2c1,1,ONc1ccc2ccccc2c1
171,171,CC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])n1[N+](=O)[O-],1,CC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])n1[N+](=O)[O-]
172,172,COc1cc2c(c3oc(=O)c4c(c13)C(O)CC4=O)C1C=COC1O2,1,COc1cc2c(c3oc(=O)c4c(c13)C(O)CC4=O)C1C=COC1O2
173,173,CCN(CC)CCn1nc2ccc(C)c3c2c1Sc1cc(Cl)ccc1-3,1,CCN(CC)CCn1nc2ccc(C)c3c2c1Sc1cc(Cl)ccc1-3
174,174,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,1,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
175,175,NC(=O)c1cccnc1,1,NC(=O)c1cccnc1
176,176,[O-][N+](=Nc1ccccc1)c1ccccc1,1,[O-][N+](=Nc1ccccc1)c1ccccc1
177,177,C1CCOC1,1,C1CCOC1
178,178,CCC12OC1(C(=O)OC)C(=O)NC2(C)O,1,CCC12OC1(C(=O)OC)C(=O)NC2(C)O
179,179,COc1ccc2nc3c(cc2c1)-c1cccc2cccc-3c12,1,COc1ccc2nc3c(cc2c1)-c1cccc2cccc-3c12
180,180,c1ccc2c(C3CO3)c3ccc4ccccc4c3cc2c1,1,c1ccc2c(C3CO3)c3ccc4ccccc4c3cc2c1
181,181,CCOCC(=O)O,1,CCOCC(=O)O
182,182,Fc1cccc(F)n1,1,Fc1cccc(F)n1
183,183,Cc1cc(C)n(-c2[nH]nc(NN)c3c4ccccc4nc2-3)n1,1,Cc1cc(C)n(-c2[nH]nc(NN)c3c4ccccc4nc2-3)n1
184,184,O=C(NO)c1ccccc1,1,O=C(NO)c1ccccc1
185,185,C=CC(C)C#N,1,C=CC(C)C#N
186,186,Cc1ccccc1C#N,1,Cc1ccccc1C#N
187,187,CCCN(CCC)CCC,1,CCCN(CCC)CCC
188,188,O=[N+]([O-])c1cccc2ccccc12,1,O=[N+]([O-])c1cccc2ccccc12
189,189,CC12CCC=C(C=O)C1(C=O)C2,1,CC12CCC=C(C=O)C1(C=O)C2
190,190,O=[N+]([O-])c1ccc2c3c4c(cccc4c4ccccc4c13)C1OC21,1,O=[N+]([O-])c1ccc2c3c4c(cccc4c4ccccc4c13)C1OC21
191,191,c1ccc2cc3c(cc4c5c(cccc53)C3OC43)cc2c1,1,c1ccc2cc3c(cc4c5c(cccc53)C3OC43)cc2c1
192,192,ClCc1ccc2cccc3c2c1-c1ccccc1-3,1,ClCc1ccc2cccc3c2c1-c1ccccc1-3
193,193,CC(C)NC(C)C,1,CC(C)NC(C)C
194,194,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@@H]4C[C@@H]([C@@H]5O[C@H]45)[C@H]3[C@@]1(Cl)C2(Cl)Cl,1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
195,195,CCOCc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O,1,CCOCc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O
196,196,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,1,NC(Cc1c[nH]c2ccccc12)C(=O)O
197,197,Nc1ccc(S(=O)(=O)O)cc1C(=O)O,1,Nc1ccc(S(=O)(=O)O)cc1C(=O)O
198,198,COc1ccc(OC)cc1,1,COc1ccc(OC)cc1
199,199,O=[N+]([O-])c1cccc(CO/N=C/c2nc3cc([N+](=O)[O-])ccc3n2Cc2ccc(Cl)cc2)c1,1,O=[N+]([O-])c1cccc(CON=Cc2nc3cc([N+](=O)[O-])ccc3n2Cc2ccc(Cl)cc2)c1
200,200,CC1CN(N=O)CC(C)O1,1,CC1CN(N=O)CC(C)O1
201,201,O=c1[nH]sc2cc([N+](=O)[O-])ccc12,1,O=c1[nH]sc2cc([N+](=O)[O-])ccc12
202,202,C[C@@H]1CNC[C@@H](C)O1,1,CC1CNCC(C)O1
203,203,O=[N+]([O-])c1cc2cccc3c2c(c1[N+](=O)[O-])-c1ccccc1-3,1,O=[N+]([O-])c1cc2cccc3c2c(c1[N+](=O)[O-])-c1ccccc1-3
204,204,Cc1ccc(N=Nc2c(O)c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)ccc23)c(C)c1,1,Cc1ccc(N=Nc2c(O)c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)ccc23)c(C)c1
205,205,CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,1,CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1
206,206,BrCc1ccccc1,1,BrCc1ccccc1
207,207,CC1=C(O)C(=O)CC1,1,CC1=C(O)C(=O)CC1
208,208,CCc1ccco1,1,CCc1ccco1
209,209,CC(C)NCC(O)COc1cccc2c1C=CC2,1,CC(C)NCC(O)COc1cccc2c1C=CC2
210,210,Clc1ccc([C@H](c2ccccc2Cl)C(Cl)Cl)cc1,1,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
211,211,Nc1ccc(S(N)(=O)=O)cc1,1,Nc1ccc(S(N)(=O)=O)cc1
212,212,c1cnc2ccc3c(c2c1)CCC1OC31,1,c1cnc2ccc3c(c2c1)CCC1OC31
213,213,O=[N+]([O-])c1cc2ccccc2c2c([N+](=O)[O-])cccc12,1,O=[N+]([O-])c1cc2ccccc2c2c([N+](=O)[O-])cccc12
214,214,O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccc(O)cc1-2,1,O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccc(O)cc1-2
215,215,O=S(=O)(O)c1cccc2cccnc12,1,O=S(=O)(O)c1cccc2cccnc12
216,216,CC1=CC[C@@H]2C(C)=CC[C@@H](C(C)C)[C@H]2C1,1,CC1=CCC2C(C)=CCC(C(C)C)C2C1
217,217,Nc1cc([N+](=O)[O-])cc(S(=O)(=O)O)c1O,1,Nc1cc([N+](=O)[O-])cc(S(=O)(=O)O)c1O
218,218,CC(CCc1ccccc1)c1ccccc1,1,CC(CCc1ccccc1)c1ccccc1
219,219,CCCOC(=O)c1cc(O)c(O)c(O)c1,1,CCCOC(=O)c1cc(O)c(O)c(O)c1
220,220,O=[N+]([O-])c1ccc2c(c1)c([N+](=O)[O-])cc1ccccc12,1,O=[N+]([O-])c1ccc2c(c1)c([N+](=O)[O-])cc1ccccc12
